date,product_id,category,sales,price,inventory_level,marketing_spend,competitor_price,website_traffic,seasonal_factor,market_sentiment,economic_indicator,is_holiday
2022-01-01,P0052,Home,641,770.590679725873,448,621.0842586532955,1117.7638852952773,74648,1.0,0.47298098137073585,111.79747606415444,0
2022-01-02,P0093,Electronics,591,423.58911434566045,86,1643.1059842035415,475.054164233932,42235,1.0,0.672114460098799,96.71204582430552,0
2022-01-03,P0015,Books,479,427.14343225429946,100,118.703957209301,659.6670205036678,19931,1.0,0.6072294502983907,89.3059446522514,0
2022-01-04,P0072,Electronics,512,740.2064785730025,7,3440.1804637679384,642.1698413492281,93876,1.0,0.41573424832338735,116.36446483704971,0
2022-01-05,P0061,Electronics,444,246.3893743106193,844,918.9468562089842,711.7938590686505,1336,1.0,0.37963086748563435,104.51283066648399,0
2022-01-06,P0021,Electronics,534,119.36937200008072,199,3310.883807489125,81.10649912679287,43933,1.0,0.3827943081453502,102.77524143634278,0
2022-01-07,P0083,Toys,494,361.07593606436876,504,4959.53882412241,439.7140957200841,85899,1.0,0.5891334031560382,98.09809357826998,0
2022-01-08,P0087,Clothing,495,294.3666017375409,86,456.0872708890798,869.9689024680046,46536,1.0,0.6476693561208259,106.69014171857482,1
2022-01-09,P0075,Electronics,575,303.3450392514302,42,477.68225856215736,247.06781927899564,70504,1.0,0.451741753515442,102.6185556427867,1
2022-01-10,P0075,Clothing,720,241.27167353941084,384,1767.862454066707,250.66542603526165,52148,1.0,0.968691450213043,95.18731571620619,0
2022-01-11,P0088,Home,281,51.672257739998265,620,4345.293919831576,20.028003173317476,17279,1.0,0.08384571800448104,96.86197373187139,0
2022-01-12,P0100,Books,641,27.69519538607967,434,1156.0963570775261,529.478456516986,69665,1.0,0.347047025953777,89.80113198986966,0
2022-01-13,P0024,Home,414,987.8451658386713,407,1865.851317658703,1060.219381762719,72386,1.0,0.41907468312544094,88.55434812472502,0
2022-01-14,P0003,Home,474,433.4954023985037,482,435.67649247219987,69.86592475607235,87124,1.0,0.016921343464943117,97.03347804903167,0
2022-01-15,P0022,Toys,383,390.4833806880849,663,3839.460927168558,235.81350171923512,78485,1.0,0.36495718766822516,111.54214892291473,0
2022-01-16,P0053,Books,541,682.8508098661391,16,2100.7010795213105,377.62076970456405,75055,1.0,0.27370991717284254,89.65836787838658,0
2022-01-17,P0002,Home,427,226.0713489864135,644,3820.31879199813,880.2158859845417,92911,1.0,0.5060362702274808,108.3637002925741,0
2022-01-18,P0088,Home,382,950.4615721107231,147,4527.678437299296,771.6376266206831,99618,1.0,0.33641054718326924,92.01065146343201,0
2022-01-19,P0030,Books,424,788.4815642713966,276,1240.539420796315,503.8051342615712,78273,1.0,0.7261821349464612,82.13396927302301,0
2022-01-20,P0038,Books,538,98.51689228913692,231,4056.2405486657617,912.8101755959839,67670,1.0,0.5099324954076485,105.46599758589076,0
2022-01-21,P0002,Home,557,423.40496802707906,825,389.56006138344105,734.6801658950271,77474,1.0,0.12976223349626437,116.28768087574782,0
2022-01-22,P0064,Books,536,880.3271244865431,926,4504.3522020832115,1076.080633191405,55028,1.0,0.7500613241443472,91.44264919731972,0
2022-01-23,P0060,Home,640,945.2847020684961,365,3288.765883037862,983.087884973322,91022,1.0,0.0992288960826766,84.3012909109984,0
2022-01-24,P0021,Home,602,472.727496137371,227,4383.710948277922,309.35381845832705,92632,1.0,0.8390491680793574,104.54914751080022,0
2022-01-25,P0033,Toys,436,617.2772753186006,650,100.9231578272513,331.55478453996665,72128,1.0,0.9314221940862194,90.76825804528005,0
2022-01-26,P0076,Electronics,313,175.36360663115448,435,928.4972447443633,157.42491914452367,19108,1.0,0.3224452901848539,105.36646578470928,0
2022-01-27,P0058,Home,277,991.2569398756068,398,2009.8209983898112,409.66195305520813,53495,1.0,0.9261426332629309,111.51479594203842,0
2022-01-28,P0022,Clothing,510,239.35498436960896,210,1959.5642265361212,1199.4563511131605,83806,1.0,0.7930081591225383,103.30617495602935,0
2022-01-29,P0089,Electronics,588,943.3044563937744,390,1210.9788763252022,491.6553929891527,94185,1.0,0.9224356110037699,108.09768308345471,0
2022-01-30,P0049,Electronics,477,653.1501825024447,498,1969.8985053492804,270.82221414941483,77533,1.0,0.6662701369208477,108.166121536347,0
2022-01-31,P0091,Electronics,343,611.6594269300705,539,731.3586888012486,916.8795982948592,57830,1.0,0.23564403942142187,109.8994671217863,0
2022-02-01,P0059,Toys,357,517.5616259063436,562,2122.5295334035277,654.6254361274861,75640,1.0,0.8945232369109726,100.45210767557481,0
2022-02-02,P0042,Home,475,238.3631136005811,490,4031.5362128803945,186.32492783612742,53509,1.0,0.18426507617074372,107.79076427393655,0
