date,product_id,category,sales,price,inventory_level,marketing_spend,competitor_price,website_traffic,seasonal_factor,market_sentiment,economic_indicator,is_holiday,month,day_of_week,price_difference,price_ratio,inventory_turnover
2022-01-01,P0052,Home,641,770.590679725873,448,621.0842586532955,1117.7638852952773,74648,1.0,0.4729809813707358,111.79747606415444,0,1,5,-347.17320556940433,0.6894038086785276,1.4308035714285714
2022-01-02,P0093,Electronics,591,423.5891143456605,86,1643.1059842035415,475.054164233932,42235,1.0,0.672114460098799,96.71204582430552,0,1,6,-51.465049888271494,0.8916648800010761,6.872093023255814
2022-01-03,P0015,Books,479,427.14343225429946,100,118.703957209301,659.6670205036678,19931,1.0,0.6072294502983907,89.3059446522514,0,1,0,-232.52358824936834,0.6475136985447107,4.79
2022-01-04,P0072,Electronics,512,740.2064785730025,7,3440.1804637679384,642.1698413492281,93876,1.0,0.4157342483233873,116.36446483704972,0,1,1,98.03663722377439,1.152664654910911,73.14285714285714
2022-01-05,P0061,Electronics,444,246.3893743106193,844,918.9468562089842,711.7938590686505,1336,1.0,0.3796308674856343,104.512830666484,0,1,2,-465.4044847580312,0.34615271145076815,0.5260663507109005
2022-01-06,P0021,Electronics,534,119.36937200008072,199,3310.883807489125,81.10649912679287,43933,1.0,0.3827943081453502,102.77524143634278,0,1,3,38.26287287328785,1.471760873484034,2.6834170854271355
2022-01-07,P0083,Toys,494,361.0759360643688,504,4959.53882412241,439.7140957200841,85899,1.0,0.5891334031560382,98.09809357826998,0,1,4,-78.6381596557153,0.8211607032361882,0.9801587301587301
2022-01-08,P0087,Clothing,495,294.3666017375409,86,456.0872708890798,869.9689024680046,46536,1.0,0.6476693561208259,106.69014171857482,1,1,5,-575.6023007304636,0.3383645103893435,5.755813953488372
2022-01-09,P0075,Electronics,575,303.3450392514302,42,477.68225856215736,247.06781927899564,70504,1.0,0.451741753515442,102.6185556427867,1,1,6,56.27721997243455,1.227780453709695,13.69047619047619
2022-01-10,P0075,Clothing,720,241.27167353941084,384,1767.862454066707,250.66542603526165,52148,1.0,0.968691450213043,95.1873157162062,0,1,0,-9.393752495850805,0.9625247380764456,1.875
2022-01-11,P0088,Home,281,51.672257739998265,620,4345.293919831576,20.02800317331748,17279,1.0,0.083845718004481,96.8619737318714,0,1,1,31.644254566680786,2.580000476974119,0.4532258064516129
2022-01-12,P0100,Books,641,27.69519538607967,434,1156.096357077526,529.478456516986,69665,1.0,0.347047025953777,89.80113198986966,0,1,2,-501.7832611309063,0.052306557604371945,1.476958525345622
2022-01-13,P0024,Home,414,987.8451658386712,407,1865.851317658703,1060.219381762719,72386,1.0,0.4190746831254409,88.55434812472502,0,1,3,-72.3742159240478,0.9317365658759053,1.0171990171990173
2022-01-14,P0003,Home,474,433.4954023985037,482,435.6764924721999,69.86592475607235,87124,1.0,0.0169213434649431,97.03347804903169,0,1,4,363.62947764243137,6.2046756542906385,0.983402489626556
2022-01-15,P0022,Toys,383,390.4833806880849,663,3839.460927168558,235.81350171923512,78485,1.0,0.3649571876682251,111.54214892291472,0,1,5,154.66987896884976,1.6558991654048851,0.5776772247360482
2022-01-16,P0053,Books,541,682.8508098661391,16,2100.7010795213105,377.62076970456405,75055,1.0,0.2737099171728425,89.65836787838658,0,1,6,305.23004016157506,1.8082978073488258,33.8125
2022-01-17,P0002,Home,427,226.0713489864135,644,3820.31879199813,880.2158859845417,92911,1.0,0.5060362702274808,108.3637002925741,0,1,0,-654.1445369981282,0.2568362518628569,0.6630434782608695
2022-01-18,P0088,Home,382,950.4615721107232,147,4527.678437299296,771.6376266206831,99618,1.0,0.3364105471832692,92.010651463432,0,1,1,178.82394549004005,1.2317460156436166,2.598639455782313
2022-01-19,P0030,Books,424,788.4815642713966,276,1240.539420796315,503.8051342615712,78273,1.0,0.7261821349464612,82.13396927302301,0,1,2,284.67643000982537,1.5650526575658592,1.536231884057971
2022-01-20,P0038,Books,538,98.51689228913692,231,4056.2405486657617,912.810175595984,67670,1.0,0.5099324954076485,105.46599758589076,0,1,3,-814.2932833068471,0.10792703118675702,2.329004329004329
2022-01-21,P0002,Home,557,423.4049680270791,825,389.56006138344105,734.6801658950271,77474,1.0,0.1297622334962643,116.28768087574782,0,1,4,-311.275197867948,0.5763119622417794,0.6751515151515152
2022-01-22,P0064,Books,536,880.3271244865431,926,4504.352202083212,1076.080633191405,55028,1.0,0.7500613241443472,91.44264919731972,0,1,5,-195.75350870486193,0.8180865795118879,0.5788336933045356
2022-01-23,P0060,Home,640,945.284702068496,365,3288.765883037862,983.087884973322,91022,1.0,0.0992288960826766,84.3012909109984,0,1,6,-37.80318290482603,0.961546486857732,1.7534246575342465
2022-01-24,P0021,Home,602,472.727496137371,227,4383.710948277922,309.35381845832705,92632,1.0,0.8390491680793574,104.54914751080022,0,1,0,163.37367767904396,1.5281126914586702,2.6519823788546257
2022-01-25,P0033,Toys,436,617.2772753186006,650,100.9231578272513,331.55478453996665,72128,1.0,0.9314221940862194,90.76825804528004,0,1,1,285.7224907786339,1.8617655485656008,0.6707692307692308
2022-01-26,P0076,Electronics,313,175.36360663115448,435,928.4972447443632,157.42491914452367,19108,1.0,0.3224452901848539,105.36646578470928,0,1,2,17.938687486630812,1.113950749246771,0.7195402298850575
2022-01-27,P0058,Home,277,991.2569398756068,398,2009.8209983898112,409.6619530552081,53495,1.0,0.9261426332629308,111.51479594203842,0,1,3,581.5949868203987,2.4196949032804618,0.6959798994974874
